setups_detected,rejected_warmup,rejected_stop_invalid,rejected_no_entry_bar,rejected_outside_split,eligible_setups,skipped_stop,skipped_size,rejected_position_open,trades_entered,funnel_residual,symbol,candidate_id,reconciled
7797,3,0,0,3223,4571,3,0,3081,1487,3081,ETHUSD,M4|5m|5/20|d0.5,True
7413,3,0,0,3026,4384,12,0,2777,1595,2777,SOLUSD,M4|5m|5/20|d0.5,True
7646,2,0,0,3112,4532,6,0,2873,1653,2873,XRPUSD,M4|5m|5/20|d0.5,True
5323,0,0,0,2135,3188,1,0,1753,1434,1753,BTCUSD,M5|5m|5/20,True
5474,0,0,0,2232,3242,1,0,1807,1434,1807,ETHUSD,M5|5m|5/20,True
5362,0,0,0,2211,3151,8,0,1479,1664,1479,SOLUSD,M5|5m|5/20,True
5492,0,0,0,2246,3246,2,0,1671,1573,1671,XRPUSD,M5|5m|5/20,True
7946,3,0,0,3227,4716,0,0,3318,1398,3318,BTCUSD,M1|5m|9/21,True
8042,3,0,0,3319,4720,1,0,3325,1394,3325,ETHUSD,M1|5m|9/21,True
7924,3,0,0,3333,4588,5,0,2900,1683,2900,SOLUSD,M1|5m|9/21,True
8103,2,0,1,3343,4757,8,0,3301,1448,3301,XRPUSD,M1|5m|9/21,True
6442,2,0,0,2632,3808,0,0,2455,1353,2455,BTCUSD,M2|5m|9/21|s0.00,True
6449,2,0,0,2656,3791,1,0,2405,1385,2405,ETHUSD,M2|5m|9/21|s0.00,True
6410,2,0,0,2684,3724,4,0,2101,1619,2101,SOLUSD,M2|5m|9/21|s0.00,True
6588,0,0,1,2709,3878,8,0,2473,1397,2473,XRPUSD,M2|5m|9/21|s0.00,True
1509,0,0,0,589,920,0,0,235,685,235,BTCUSD,M2|5m|9/21|s0.25,True
1244,0,0,0,528,716,1,0,134,581,134,ETHUSD,M2|5m|9/21|s0.25,True
1452,0,0,0,570,882,3,0,187,692,187,SOLUSD,M2|5m|9/21|s0.25,True
1531,0,0,0,613,918,5,0,255,658,255,XRPUSD,M2|5m|9/21|s0.25,True
30,0,0,0,11,19,0,0,1,18,1,BTCUSD,M2|5m|9/21|s0.50,True
20,0,0,0,10,10,0,0,0,10,0,ETHUSD,M2|5m|9/21|s0.50,True
34,0,0,0,10,24,1,0,0,23,0,SOLUSD,M2|5m|9/21|s0.50,True
39,0,0,0,17,22,2,0,1,19,1,XRPUSD,M2|5m|9/21|s0.50,True
665,0,0,0,256,409,0,0,100,309,100,BTCUSD,M3|5m|9/21|v1.2,True
545,0,0,0,236,309,1,0,60,248,60,ETHUSD,M3|5m|9/21|v1.2,True
500,0,0,0,228,272,3,0,44,225,44,SOLUSD,M3|5m|9/21|v1.2,True
505,0,0,0,205,300,4,0,65,231,65,XRPUSD,M3|5m|9/21|v1.2,True
164,0,0,0,61,103,0,0,12,91,12,BTCUSD,M3|5m|9/21|v1.5,True
102,0,0,0,44,58,0,0,7,51,7,ETHUSD,M3|5m|9/21|v1.5,True
86,0,0,0,36,50,3,0,5,42,5,SOLUSD,M3|5m|9/21|v1.5,True
73,0,0,0,31,42,3,0,6,33,6,XRPUSD,M3|5m|9/21|v1.5,True
2690,2,0,0,1113,1575,0,0,469,1106,469,BTCUSD,M4|5m|9/21|d0.25,True
2922,1,0,0,1228,1693,3,0,484,1206,484,ETHUSD,M4|5m|9/21|d0.25,True
2607,1,0,0,1086,1520,2,0,347,1171,347,SOLUSD,M4|5m|9/21|d0.25,True
2734,1,0,0,1132,1601,4,0,394,1203,394,XRPUSD,M4|5m|9/21|d0.25,True
4493,2,0,0,1862,2629,0,0,1157,1472,1157,BTCUSD,M4|5m|9/21|d0.5,True
4789,2,0,0,2019,2768,3,0,1264,1501,1264,ETHUSD,M4|5m|9/21|d0.5,True
4379,1,0,0,1839,2539,6,0,969,1564,969,SOLUSD,M4|5m|9/21|d0.5,True
4543,2,0,0,1867,2674,4,0,1130,1540,1130,XRPUSD,M4|5m|9/21|d0.5,True
3856,0,0,0,1578,2278,0,0,959,1319,959,BTCUSD,M5|5m|9/21,True
3914,0,0,0,1625,2289,1,0,898,1390,898,ETHUSD,M5|5m|9/21,True
3868,0,0,0,1635,2233,3,0,747,1483,747,SOLUSD,M5|5m|9/21,True
3943,0,0,1,1632,2310,4,0,871,1435,871,XRPUSD,M5|5m|9/21,True
6161,2,0,0,2535,3624,0,0,2425,1199,2425,BTCUSD,M1|5m|12/26,True
6205,2,0,0,2565,3638,1,0,2435,1202,2435,ETHUSD,M1|5m|12/26,True
6095,2,0,0,2593,3500,4,0,2102,1394,2102,SOLUSD,M1|5m|12/26,True
6335,1,0,0,2603,3731,11,0,2412,1308,2412,XRPUSD,M1|5m|12/26,True
5327,2,0,0,2178,3147,0,0,1974,1173,1974,BTCUSD,M2|5m|12/26|s0.00,True
5371,2,0,0,2238,3131,1,0,1949,1181,1949,ETHUSD,M2|5m|12/26|s0.00,True
5302,2,0,0,2251,3049,4,0,1689,1356,1689,SOLUSD,M2|5m|12/26|s0.00,True
5462,1,0,0,2248,3213,11,0,1924,1278,1924,XRPUSD,M2|5m|12/26|s0.00,True
1927,1,0,0,779,1147,0,0,415,732,415,BTCUSD,M2|5m|12/26|s0.25,True
1625,0,0,0,671,954,0,0,308,646,308,ETHUSD,M2|5m|12/26|s0.25,True
1836,0,0,0,715,1121,5,0,345,771,345,SOLUSD,M2|5m|12/26|s0.25,True
1913,0,0,0,819,1094,5,0,342,747,342,XRPUSD,M2|5m|12/26|s0.25,True
94,0,0,0,36,58,0,0,2,56,2,BTCUSD,M2|5m|12/26|s0.50,True
63,0,0,0,24,39,0,0,1,38,1,ETHUSD,M2|5m|12/26|s0.50,True
73,0,0,0,32,41,2,0,1,38,1,SOLUSD,M2|5m|12/26|s0.50,True
95,0,0,0,54,41,0,0,1,40,1,XRPUSD,M2|5m|12/26|s0.50,True
569,0,0,0,222,347,0,0,74,273,74,BTCUSD,M3|5m|12/26|v1.2,True
486,0,0,0,205,281,0,0,63,218,63,ETHUSD,M3|5m|12/26|v1.2,True
438,0,0,0,189,249,5,0,33,211,33,SOLUSD,M3|5m|12/26|v1.2,True
425,0,0,0,175,250,4,0,43,203,43,XRPUSD,M3|5m|12/26|v1.2,True
144,0,0,0,54,90,0,0,13,77,13,BTCUSD,M3|5m|12/26|v1.5,True
95,0,0,0,41,54,0,0,5,49,5,ETHUSD,M3|5m|12/26|v1.5,True
73,0,0,0,30,43,4,0,3,36,3,SOLUSD,M3|5m|12/26|v1.5,True
69,0,0,0,30,39,4,0,5,30,5,XRPUSD,M3|5m|12/26|v1.5,True
1728,1,0,0,735,992,0,0,183,809,183,BTCUSD,M4|5m|12/26|d0.25,True
1941,1,0,0,828,1112,1,0,195,916,195,ETHUSD,M4|5m|12/26|d0.25,True
1754,0,0,0,741,1013,1,0,160,852,160,SOLUSD,M4|5m|12/26|d0.25,True
1850,1,0,0,751,1098,1,0,168,929,168,XRPUSD,M4|5m|12/26|d0.25,True
3043,1,0,0,1274,1768,0,0,569,1199,569,BTCUSD,M4|5m|12/26|d0.5,True
3247,1,0,0,1380,1866,2,0,608,1256,608,ETHUSD,M4|5m|12/26|d0.5,True
2922,0,0,0,1240,1682,2,0,470,1210,470,SOLUSD,M4|5m|12/26|d0.5,True
3114,1,0,0,1293,1820,2,0,556,1262,556,XRPUSD,M4|5m|12/26|d0.5,True
2965,0,0,0,1230,1735,0,0,633,1102,633,BTCUSD,M5|5m|12/26,True
2990,0,0,0,1245,1745,0,0,576,1169,576,ETHUSD,M5|5m|12/26,True
2941,0,0,0,1257,1684,1,0,489,1194,489,SOLUSD,M5|5m|12/26,True
3048,0,0,0,1254,1794,3,0,559,1232,559,XRPUSD,M5|5m|12/26,True
3479,0,0,0,1402,2077,0,0,1357,720,1357,BTCUSD,M1|5m|20/50,True
3448,1,0,0,1447,2000,0,0,1253,747,1253,ETHUSD,M1|5m|20/50,True
3419,0,0,0,1431,1988,6,0,1170,812,1170,SOLUSD,M1|5m|20/50,True
3482,0,0,0,1413,2069,9,0,1247,813,1247,XRPUSD,M1|5m|20/50,True
3210,0,0,0,1291,1919,0,0,1211,708,1211,BTCUSD,M2|5m|20/50|s0.00,True
3177,0,0,0,1325,1852,0,0,1110,742,1110,ETHUSD,M2|5m|20/50|s0.00,True
3155,0,0,0,1308,1847,6,0,1026,815,1026,SOLUSD,M2|5m|20/50|s0.00,True
3216,0,0,0,1305,1911,9,0,1100,802,1100,XRPUSD,M2|5m|20/50|s0.00,True
1030,0,0,0,415,615,0,0,242,373,242,BTCUSD,M2|5m|20/50|s0.25,True
849,0,0,0,361,488,0,0,143,345,143,ETHUSD,M2|5m|20/50|s0.25,True
1015,0,0,0,411,604,5,0,188,411,188,SOLUSD,M2|5m|20/50|s0.25,True
955,0,0,0,376,579,5,0,184,390,184,XRPUSD,M2|5m|20/50|s0.25,True
32,0,0,0,11,21,0,0,0,21,0,BTCUSD,M2|5m|20/50|s0.50,True
14,0,0,0,7,7,0,0,0,7,0,ETHUSD,M2|5m|20/50|s0.50,True
18,0,0,0,9,9,0,0,0,9,0,SOLUSD,M2|5m|20/50|s0.50,True
10,0,0,0,7,3,0,0,0,3,0,XRPUSD,M2|5m|20/50|s0.50,True
410,0,0,0,171,239,0,0,44,195,44,BTCUSD,M3|5m|20/50|v1.2,True
375,0,0,0,169,206,0,0,36,170,36,ETHUSD,M3|5m|20/50|v1.2,True
357,0,0,0,172,185,3,0,22,160,22,SOLUSD,M3|5m|20/50|v1.2,True
309,0,0,0,134,175,6,0,34,135,34,XRPUSD,M3|5m|20/50|v1.2,True
102,0,0,0,39,63,0,0,8,55,8,BTCUSD,M3|5m|20/50|v1.5,True
86,0,0,0,48,38,0,0,1,37,1,ETHUSD,M3|5m|20/50|v1.5,True
70,0,0,0,33,37,3,0,0,34,0,SOLUSD,M3|5m|20/50|v1.5,True
50,0,0,0,21,29,4,0,2,23,2,XRPUSD,M3|5m|20/50|v1.5,True
705,0,0,0,287,418,0,0,44,374,44,BTCUSD,M4|5m|20/50|d0.25,True
811,0,0,0,337,474,0,0,41,433,41,ETHUSD,M4|5m|20/50|d0.25,True
693,0,0,0,294,399,0,0,34,365,34,SOLUSD,M4|5m|20/50|d0.25,True
717,0,0,0,285,432,0,0,43,389,43,XRPUSD,M4|5m|20/50|d0.25,True
1241,0,0,0,494,747,0,0,159,588,159,BTCUSD,M4|5m|20/50|d0.5,True
1385,0,0,0,588,797,0,0,142,655,142,ETHUSD,M4|5m|20/50|d0.5,True
1208,0,0,0,505,703,0,0,117,586,117,SOLUSD,M4|5m|20/50|d0.5,True
1275,0,0,0,511,764,1,0,126,637,126,XRPUSD,M4|5m|20/50|d0.5,True
1618,0,0,0,656,962,0,0,288,674,288,BTCUSD,M5|5m|20/50,True
1594,0,0,0,679,915,0,0,238,677,238,ETHUSD,M5|5m|20/50,True
1587,0,0,0,667,920,1,0,220,699,220,SOLUSD,M5|5m|20/50,True
1610,0,0,0,653,957,3,0,246,708,246,XRPUSD,M5|5m|20/50,True
1052,0,0,0,418,634,3,0,346,285,346,BTCUSD,M1|5m|50/200,True
1079,1,0,0,436,642,9,0,298,335,298,ETHUSD,M1|5m|50/200,True
1000,0,0,0,414,586,23,0,218,345,218,SOLUSD,M1|5m|50/200,True
1094,0,0,0,440,654,9,0,314,331,314,XRPUSD,M1|5m|50/200,True
1028,0,0,0,409,619,3,0,333,283,333,BTCUSD,M2|5m|50/200|s0.00,True
1045,1,0,0,423,621,9,0,282,330,282,ETHUSD,M2|5m|50/200|s0.00,True
966,0,0,0,398,568,23,0,205,340,205,SOLUSD,M2|5m|50/200|s0.00,True
1051,0,0,0,424,627,9,0,286,332,286,XRPUSD,M2|5m|50/200|s0.00,True
16,0,0,0,7,9,1,0,1,7,1,BTCUSD,M2|5m|50/200|s0.25,True
6,0,0,0,4,2,0,0,0,2,0,ETHUSD,M2|5m|50/200|s0.25,True
4,0,0,0,3,1,0,0,0,1,0,SOLUSD,M2|5m|50/200|s0.25,True
4,0,0,0,2,2,0,0,0,2,0,XRPUSD,M2|5m|50/200|s0.25,True
0,0,0,0,0,0,0,0,0,0,0,BTCUSD,M2|5m|50/200|s0.50,True
0,0,0,0,0,0,0,0,0,0,0,ETHUSD,M2|5m|50/200|s0.50,True
0,0,0,0,0,0,0,0,0,0,0,SOLUSD,M2|5m|50/200|s0.50,True
0,0,0,0,0,0,0,0,0,0,0,XRPUSD,M2|5m|50/200|s0.50,True
165,0,0,0,67,98,2,0,21,75,21,BTCUSD,M3|5m|50/200|v1.2,True
153,0,0,0,64,89,3,0,11,75,11,ETHUSD,M3|5m|50/200|v1.2,True
121,0,0,0,55,66,5,0,7,54,7,SOLUSD,M3|5m|50/200|v1.2,True
128,0,0,0,65,63,2,0,7,54,7,XRPUSD,M3|5m|50/200|v1.2,True
46,0,0,0,21,25,2,0,2,21,2,BTCUSD,M3|5m|50/200|v1.5,True
43,0,0,0,20,23,1,0,2,20,2,ETHUSD,M3|5m|50/200|v1.5,True
35,0,0,0,18,17,4,0,0,13,0,SOLUSD,M3|5m|50/200|v1.5,True
38,0,0,0,18,20,1,0,1,18,1,XRPUSD,M3|5m|50/200|v1.5,True
84,0,0,0,29,55,0,0,1,54,1,BTCUSD,M4|5m|50/200|d0.25,True
106,0,0,0,51,55,0,0,1,54,1,ETHUSD,M4|5m|50/200|d0.25,True
77,0,0,0,35,42,0,0,4,38,4,SOLUSD,M4|5m|50/200|d0.25,True
119,0,0,0,47,72,0,0,0,72,0,XRPUSD,M4|5m|50/200|d0.25,True
151,0,0,0,55,96,0,0,2,94,2,BTCUSD,M4|5m|50/200|d0.5,True
187,0,0,0,86,101,0,0,10,91,10,ETHUSD,M4|5m|50/200|d0.5,True
156,0,0,0,71,85,0,0,7,78,7,SOLUSD,M4|5m|50/200|d0.5,True
209,0,0,0,87,122,0,0,12,110,12,XRPUSD,M4|5m|50/200|d0.5,True
402,0,0,0,164,238,1,0,44,193,44,BTCUSD,M5|5m|50/200,True
410,0,0,0,167,243,4,0,30,209,30,ETHUSD,M5|5m|50/200,True
379,0,0,0,157,222,6,0,36,180,36,SOLUSD,M5|5m|50/200,True
416,0,0,0,164,252,3,0,43,206,43,XRPUSD,M5|5m|50/200,True
3647,1,0,0,1442,2204,0,0,1757,447,1757,BTCUSD,M1|15m|5/20,True
3557,1,0,0,1433,2123,5,0,1676,442,1676,ETHUSD,M1|15m|5/20,True
3569,4,0,0,1465,2100,12,0,1518,570,1518,SOLUSD,M1|15m|5/20,True
3670,2,0,0,1472,2196,10,0,1679,507,1679,XRPUSD,M1|15m|5/20,True
1859,1,0,0,749,1109,0,0,662,447,662,BTCUSD,M2|15m|5/20|s0.00,True
1871,0,0,0,732,1139,4,0,725,410,725,ETHUSD,M2|15m|5/20|s0.00,True
1893,1,0,0,759,1133,11,0,656,466,656,SOLUSD,M2|15m|5/20|s0.00,True
1912,2,0,0,747,1163,7,0,712,444,712,XRPUSD,M2|15m|5/20|s0.00,True
15,0,0,0,6,9,0,0,0,9,0,BTCUSD,M2|15m|5/20|s0.25,True
14,0,0,0,3,11,1,0,0,10,0,ETHUSD,M2|15m|5/20|s0.25,True
16,0,0,0,9,7,1,0,0,6,0,SOLUSD,M2|15m|5/20|s0.25,True
4,0,0,0,3,1,1,0,0,0,0,XRPUSD,M2|15m|5/20|s0.25,True
0,0,0,0,0,0,0,0,0,0,0,BTCUSD,M2|15m|5/20|s0.50,True
2,0,0,0,1,1,1,0,0,0,0,ETHUSD,M2|15m|5/20|s0.50,True
1,0,0,0,1,0,0,0,0,0,0,SOLUSD,M2|15m|5/20|s0.50,True
1,0,0,0,0,1,1,0,0,0,0,XRPUSD,M2|15m|5/20|s0.50,True
424,0,0,0,164,260,0,0,87,173,87,BTCUSD,M3|15m|5/20|v1.2,True
311,0,0,0,150,161,1,0,35,125,35,ETHUSD,M3|15m|5/20|v1.2,True
329,0,0,0,152,177,4,0,47,126,47,SOLUSD,M3|15m|5/20|v1.2,True
287,0,0,0,135,152,2,0,45,105,45,XRPUSD,M3|15m|5/20|v1.2,True
90,0,0,0,38,52,0,0,8,44,8,BTCUSD,M3|15m|5/20|v1.5,True
54,0,0,0,27,27,1,0,1,25,1,ETHUSD,M3|15m|5/20|v1.5,True
52,0,0,0,25,27,3,0,6,18,6,SOLUSD,M3|15m|5/20|v1.5,True
40,0,0,0,16,24,2,0,5,17,5,XRPUSD,M3|15m|5/20|v1.5,True
1757,1,0,0,731,1025,2,0,572,451,572,BTCUSD,M4|15m|5/20|d0.25,True
1888,0,0,0,786,1102,14,0,613,475,613,ETHUSD,M4|15m|5/20|d0.25,True
1730,0,0,0,734,996,14,0,434,548,434,SOLUSD,M4|15m|5/20|d0.25,True
1767,2,0,1,689,1075,15,0,484,576,484,XRPUSD,M4|15m|5/20|d0.25,True
2554,1,0,0,1006,1547,3,0,1113,431,1113,BTCUSD,M4|15m|5/20|d0.5,True
2588,1,0,0,1062,1525,15,0,1014,496,1014,ETHUSD,M4|15m|5/20|d0.5,True
2491,1,0,0,1026,1464,19,0,881,564,881,SOLUSD,M4|15m|5/20|d0.5,True
2552,2,0,1,1020,1529,19,0,891,619,891,XRPUSD,M4|15m|5/20|d0.5,True
1788,0,0,0,714,1074,2,0,654,418,654,BTCUSD,M5|15m|5/20,True
1727,0,0,0,704,1023,6,0,560,457,560,ETHUSD,M5|15m|5/20,True
1743,0,0,0,729,1014,18,0,477,519,477,SOLUSD,M5|15m|5/20,True
1788,0,0,0,728,1060,5,0,575,480,575,XRPUSD,M5|15m|5/20,True
2619,1,0,0,1060,1558,0,0,1133,425,1133,BTCUSD,M1|15m|9/21,True
2563,1,0,0,1061,1501,2,0,1085,414,1085,ETHUSD,M1|15m|9/21,True
2547,3,0,0,1051,1493,8,0,938,547,938,SOLUSD,M1|15m|9/21,True
2634,2,0,0,1060,1572,15,0,1052,505,1052,XRPUSD,M1|15m|9/21,True
2120,1,0,0,876,1243,0,0,839,404,839,BTCUSD,M2|15m|9/21|s0.00,True
2109,1,0,0,868,1240,2,0,816,422,816,ETHUSD,M2|15m|9/21|s0.00,True
2067,3,0,0,846,1218,7,0,698,513,698,SOLUSD,M2|15m|9/21|s0.00,True
2133,2,0,0,862,1269,14,0,748,507,748,XRPUSD,M2|15m|9/21|s0.00,True
364,0,0,0,150,214,0,0,41,173,41,BTCUSD,M2|15m|9/21|s0.25,True
343,1,0,0,132,210,1,0,44,165,44,ETHUSD,M2|15m|9/21|s0.25,True
384,1,0,0,149,234,2,0,41,191,41,SOLUSD,M2|15m|9/21|s0.25,True
386,1,0,0,165,220,7,0,32,181,32,XRPUSD,M2|15m|9/21|s0.25,True
6,0,0,0,3,3,0,0,0,3,0,BTCUSD,M2|15m|9/21|s0.50,True
12,0,0,0,4,8,1,0,0,7,0,ETHUSD,M2|15m|9/21|s0.50,True
8,0,0,0,3,5,0,0,0,5,0,SOLUSD,M2|15m|9/21|s0.50,True
10,0,0,0,5,5,2,0,0,3,0,XRPUSD,M2|15m|9/21|s0.50,True
338,0,0,0,135,203,0,0,64,139,64,BTCUSD,M3|15m|9/21|v1.2,True
248,0,0,0,125,123,1,0,24,98,24,ETHUSD,M3|15m|9/21|v1.2,True
248,0,0,0,104,144,3,0,36,105,36,SOLUSD,M3|15m|9/21|v1.2,True
234,0,0,0,103,131,5,0,33,93,33,XRPUSD,M3|15m|9/21|v1.2,True
68,0,0,0,31,37,0,0,9,28,9,BTCUSD,M3|15m|9/21|v1.5,True
48,0,0,0,23,25,1,0,1,23,1,ETHUSD,M3|15m|9/21|v1.5,True
45,0,0,0,19,26,3,0,5,18,5,SOLUSD,M3|15m|9/21|v1.5,True
33,0,0,0,11,22,2,0,3,17,3,XRPUSD,M3|15m|9/21|v1.5,True
933,0,0,0,393,540,1,0,185,354,185,BTCUSD,M4|15m|9/21|d0.25,True
958,1,0,0,422,535,2,0,171,362,171,ETHUSD,M4|15m|9/21|d0.25,True
872,0,0,0,381,491,2,0,113,376,113,SOLUSD,M4|15m|9/21|d0.25,True
941,1,0,1,389,550,4,0,144,402,144,XRPUSD,M4|15m|9/21|d0.25,True
1497,1,0,0,612,884,1,0,407,476,407,BTCUSD,M4|15m|9/21|d0.5,True
1554,1,0,0,666,887,4,0,433,450,433,ETHUSD,M4|15m|9/21|d0.5,True
1465,0,0,0,613,852,3,0,280,569,280,SOLUSD,M4|15m|9/21|d0.5,True
1550,1,0,1,621,927,9,0,396,522,396,XRPUSD,M4|15m|9/21|d0.5,True
1276,0,0,0,523,753,0,0,353,400,353,BTCUSD,M5|15m|9/21,True
1240,0,0,0,519,721,2,0,316,403,316,ETHUSD,M5|15m|9/21,True
1239,0,0,0,521,718,6,0,267,445,267,SOLUSD,M5|15m|9/21,True
1277,0,0,0,522,755,4,0,315,436,315,XRPUSD,M5|15m|9/21,True
1989,1,0,0,818,1170,0,0,799,371,799,BTCUSD,M1|15m|12/26,True
1949,5,0,0,832,1112,4,0,723,385,723,ETHUSD,M1|15m|12/26,True
1993,1,0,0,819,1173,9,0,695,469,695,SOLUSD,M1|15m|12/26,True
2002,2,0,0,798,1202,18,0,747,437,747,XRPUSD,M1|15m|12/26,True
1712,1,0,0,699,1012,0,0,651,361,651,BTCUSD,M2|15m|12/26|s0.00,True
1708,4,0,0,717,987,4,0,601,382,601,ETHUSD,M2|15m|12/26|s0.00,True
1702,1,0,0,689,1012,8,0,541,463,541,SOLUSD,M2|15m|12/26|s0.00,True
1723,2,0,0,690,1031,18,0,579,434,579,XRPUSD,M2|15m|12/26|s0.00,True
512,0,0,0,213,299,0,0,103,196,103,BTCUSD,M2|15m|12/26|s0.25,True
447,1,0,0,182,264,4,0,57,203,57,ETHUSD,M2|15m|12/26|s0.25,True
527,1,0,0,208,318,5,0,69,244,69,SOLUSD,M2|15m|12/26|s0.25,True
497,1,0,0,199,297,12,0,60,225,60,XRPUSD,M2|15m|12/26|s0.25,True
17,0,0,0,7,10,0,0,0,10,0,BTCUSD,M2|15m|12/26|s0.50,True
9,0,0,0,3,6,0,0,0,6,0,ETHUSD,M2|15m|12/26|s0.50,True
18,0,0,0,6,12,3,0,0,9,0,SOLUSD,M2|15m|12/26|s0.50,True
15,0,0,0,10,5,0,0,0,5,0,XRPUSD,M2|15m|12/26|s0.50,True
271,0,0,0,118,153,0,0,50,103,50,BTCUSD,M3|15m|12/26|v1.2,True
226,1,0,0,116,109,3,0,20,86,20,ETHUSD,M3|15m|12/26|v1.2,True
224,0,0,0,98,126,7,0,24,95,24,SOLUSD,M3|15m|12/26|v1.2,True
189,0,0,0,93,96,6,0,12,78,12,XRPUSD,M3|15m|12/26|v1.2,True
59,0,0,0,25,34,0,0,9,25,9,BTCUSD,M3|15m|12/26|v1.5,True
44,0,0,0,20,24,2,0,4,18,4,ETHUSD,M3|15m|12/26|v1.5,True
43,0,0,0,19,24,3,0,3,18,3,SOLUSD,M3|15m|12/26|v1.5,True
30,0,0,0,14,16,3,0,0,13,0,XRPUSD,M3|15m|12/26|v1.5,True
571,0,0,0,251,320,0,0,72,248,72,BTCUSD,M4|15m|12/26|d0.25,True
609,1,0,0,282,326,2,0,68,256,68,ETHUSD,M4|15m|12/26|d0.25,True
542,1,0,0,239,302,1,0,60,241,60,SOLUSD,M4|15m|12/26|d0.25,True
594,0,0,1,244,349,4,0,73,272,73,XRPUSD,M4|15m|12/26|d0.25,True
979,1,0,0,408,570,0,0,223,347,223,BTCUSD,M4|15m|12/26|d0.5,True
1036,1,0,0,465,570,2,0,192,376,192,ETHUSD,M4|15m|12/26|d0.5,True
936,1,0,0,391,544,1,0,129,414,129,SOLUSD,M4|15m|12/26|d0.5,True
1033,1,0,1,413,618,7,0,192,419,192,XRPUSD,M4|15m|12/26|d0.5,True
964,0,0,0,401,563,0,0,234,329,234,BTCUSD,M5|15m|12/26,True
934,0,0,0,406,528,1,0,206,321,206,ETHUSD,M5|15m|12/26,True
967,0,0,0,403,564,3,0,166,395,166,SOLUSD,M5|15m|12/26,True
965,0,0,0,391,574,6,0,189,379,189,XRPUSD,M5|15m|12/26,True
1107,1,0,0,426,680,3,0,402,275,402,BTCUSD,M1|15m|20/50,True
1127,1,0,0,454,672,8,0,385,279,385,ETHUSD,M1|15m|20/50,True
1094,0,0,0,460,634,16,0,332,286,332,SOLUSD,M1|15m|20/50,True
1138,0,0,0,460,678,16,0,382,280,382,XRPUSD,M1|15m|20/50,True
1021,1,0,0,396,624,3,0,352,269,352,BTCUSD,M2|15m|20/50|s0.00,True
1045,1,0,0,419,625,8,0,341,276,341,ETHUSD,M2|15m|20/50|s0.00,True
989,0,0,0,410,579,17,0,285,277,285,SOLUSD,M2|15m|20/50|s0.00,True
1042,0,0,0,416,626,16,0,333,277,333,XRPUSD,M2|15m|20/50|s0.00,True
