candidate_id,mechanism,exec_tf,pair,variant,trades,gross_expectancy,fee_drag,slippage_drag,funding_drag,net_expectancy,gross_total_R,net_total_R,win_rate,wins,losses,longs,shorts,median_net_R,avg_stop_pct,median_stop_pct,median_stop_bps,cost_per_R,pct_target,pct_stop,unresolved_at_boundary,effective_n,profit_factor,max_dd_R,t_gross,t_net,net_ci_low,net_ci_high,ca_trades,cb_trades,excess_vs_ca,excess_vs_cb,setups_detected,rejected_warmup,rejected_stop_invalid,rejected_no_entry_bar,rejected_outside_split,eligible_setups,skipped_stop,skipped_size,rejected_position_open,trades_entered,reconciled,cb_net,cb_gross,cb_stop,cb_seed_sd,cb_min,cb_max,ca_net,ca_gross,cb_cost,ca_cost,excess_gross_cb,excess_gross_ca
M2|5m|9/21|s0.00,M2,5,9/21,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.0}",5754,-0.0005213764337851,-0.2315740334768644,-0.0784996723650387,0.0004423498657992,-0.3101527324098891,-2.999999999999972,-1784.6188222865023,0.3331595411887382,1917.0,3837.0,2941.0,2813.0,-1.173277190708799,0.7527776750666391,0.6120641422974314,61.206414229743146,0.309631355976104,33.315954118873826,66.68404588112618,0.0,3634.1,0.645,1785.46,-0.023,-12.632,-0.3472,-0.2699,39376,15566,2.8055737965693317,0.234325897176165,25889,6,0,1,10681,15201,13,0,9434,5754,True,-0.5444786295860542,0.03705160826385042,0.6434208787182427,0.07660068901358118,-0.6645424616006002,-0.45408461225462926,-3.1157265289792204,0.03610819329798977,0.5815302378499047,3.15183472227721,-0.03757298469763552,-0.03662956973177487
M2|5m|9/21|s0.25,M2,5,9/21,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.25}",2616,0.0298165137614678,-0.2485486478659823,-0.0842537789376211,0.0005493201280196,-0.3024365929141159,78.0,-791.1741270633273,0.3428899082568807,897.0,1719.0,1295.0,1321.0,-1.1681997949567768,0.7482897102719296,0.5953524386106704,59.535243861067045,0.3322531066755839,34.32721712538226,65.67278287461774,0.0,2097.3,0.654,789.1,1.006,-9.301,-0.362,-0.244,14384,9551,3.2856621297888458,0.3465518919968169,5736,0,0,0,2300,3436,9,0,811,2616,True,-0.6489884849109329,0.029856372986451368,0.6139271976276548,0.1324393237284604,-0.8217541114721704,-0.48866943833954124,-3.588098722702962,0.06968316122664726,0.6788448578973842,3.657781883929609,-3.985922498356623e-05,-0.03986664746517946
M2|5m|9/21|s0.50,M2,5,9/21,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.5}",70,0.1571428571428571,-0.1803451404815923,-0.0611339459259634,-0.002743364208961,-0.0870795934736596,11.0,-6.095571543156178,0.3857142857142857,27.0,43.0,30.0,40.0,-1.1018836558478928,1.1979062584010496,1.0200489416654166,102.00489416654166,0.2442224506165169,38.57142857142858,61.42857142857143,0.0,56.4,0.89,17.67,0.802,-0.446,-0.422,0.2569,337,342,2.4941397396279656,0.1515269605913844,123,0,0,0,48,75,3,0,2,70,True,-0.2386065540650441,0.09608673839425451,1.074069484033554,0.09541820719070344,-0.3302086143907906,-0.0928663060316543,-2.5812193331016253,0.06121832132062312,0.33469329245929863,2.6424376544222485,0.0610561187486026,0.095924535822234
M3|5m|9/21|v1.2,M3,5,9/21,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.2, ""baseline_window"": 20}",1013,0.0602171767028627,-0.1679346543727364,-0.0569270014822835,0.0003276502884971,-0.16431682886366,61.0,-166.45294763888762,0.3534057255676209,358.0,655.0,521.0,492.0,-1.1111068042577028,1.0711392953575272,0.870017691747324,87.0017691747324,0.2245340055665228,35.3405725567621,64.6594274432379,0.0,729.7,0.793,172.04,1.015,-2.835,-0.2587,-0.0727,5460,4049,2.4835406874630284,0.3451068270579833,2215,0,0,0,925,1290,8,0,269,1013,True,-0.5094236559216434,-0.0009156312254515492,0.90471363405982,0.1601988870697652,-0.7016466887522463,-0.3198122213542095,-2.647857516326688,0.018198652174475333,0.5085080246961918,2.6660561685011634,0.06113280792831425,0.04201852452838737
M3|5m|9/21|v1.5,M3,5,9/21,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.5, ""baseline_window"": 20}",217,-0.0737327188940092,-0.1166169696585608,-0.0395311761554443,0.0017090994959837,-0.2281717652120306,-16.0,-49.51327305101066,0.3087557603686636,67.0,150.0,110.0,107.0,-1.0860493055897562,1.5075169546197635,1.2662526683485356,126.62526683485356,0.1544390463180214,30.87557603686636,69.12442396313364,0.0,156.9,0.713,51.77,-0.649,-2.167,-0.4015,-0.0468,1118,970,1.112432020143975,0.0577675778878152,425,0,0,0,172,253,6,0,30,217,True,-0.2859393430998459,0.051608031126668674,1.2692839146966375,0.15841529634495718,-0.54270730471002,-0.12065729265306903,-1.3406037853560058,-0.05005871917435721,0.3375473742265146,1.2905450661816487,-0.12534075002067788,-0.023673999719651992
M4|5m|9/21|d0.25,M4,5,9/21,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.25}",4686,0.0422535211267605,-0.4232384317883335,-0.1434706548435028,-0.000156677182849,-0.5246122426879248,197.99999999999997,-2458.332969235616,0.3405889884763124,1596.0,3090.0,2388.0,2298.0,-1.2619874794363355,0.4746144635058423,0.361442490237295,36.14424902372951,0.5668657638146855,34.74178403755869,65.25821596244131,0.0,4032.6,0.486,2456.61,1.825,-20.285,-0.5722,-0.4776,23898,16377,0.0319460808786573,0.613788141592107,10953,5,0,0,4559,6389,9,0,1694,4686,True,-1.1384003842800319,0.0356123871260504,0.3746793896771622,0.11245631656893314,-1.2680577331116794,-1.0296932534558976,-0.5565583235665822,0.027914845151115097,1.1740127714060822,0.5844731687176973,0.006641134000710099,0.014338675975645403
M4|5m|9/21|d0.5,M4,5,9/21,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.5}",6077,0.0258351160111897,-0.3875375272061196,-0.13136865329021,0.0001141338283979,-0.492956930656742,156.99999999999994,-2995.6992676010213,0.3338818495968405,2029.0,4048.0,3109.0,2968.0,-1.2287452531229477,0.5470159428395556,0.4145476494658994,41.45476494658994,0.5187920466679318,34.19450386703966,65.80549613296034,0.0,4486.4,0.509,2994.78,1.204,-19.696,-0.5331,-0.4504,33603,18536,0.1189998368036953,0.4685203446753864,18204,7,0,0,7587,10610,13,0,4520,6077,True,-0.9614772753321285,0.015214796606360964,0.43423362384897013,0.20231702169765226,-1.2558758944751356,-0.7725092589340133,-0.6119567674604374,0.022509336942167286,0.9766920719384894,0.6344661044026046,0.010620319404828736,0.0033257790690224137
M5|5m|9/21,M5,5,9/21,"{""regime_fast"": 20, ""regime_slow"": 50, ""regime_tf"": 60, ""regime_tf_name"": ""1h""}",5627,0.0337657721698951,-0.2606792382363259,-0.088365843469941,-0.000500512842342,-0.3157798223787138,190.00000000000009,-1776.8930605250227,0.3445885907232984,1939.0,3688.0,2619.0,3008.0,-1.192907594391307,0.6606481569549332,0.5472213030334233,54.72213030334233,0.349545594548609,34.45885907232984,65.54114092767016,0.0,3353.4,0.644,1777.64,1.358,-11.224,-0.3586,-0.2731,32324,16806,2.669322221111673,0.2523549665785409,15581,0,0,1,6470,9110,8,0,3475,5627,True,-0.5681347889572548,0.01468236399990428,0.5689300953484613,0.1074803120409286,-0.7457498630848907,-0.46519715811352447,-2.985102043490387,0.03677092552795078,0.5828171529571591,3.021872969018338,0.019083408169990816,-0.003005153358055686
M1|5m|12/26,M1,5,12/26,{},5103,-0.030570252792475,-0.2291440463711954,-0.0776759479224391,0.0003895325811329,-0.3370007145049765,-156.0,-1719.7146461188954,0.3227513227513227,1647.0,3456.0,2637.0,2466.0,-1.1695480680035102,0.7825080219439707,0.6288475541139793,62.88475541139793,0.3064304617125015,32.314324906917506,67.6856750930825,0.0,3172.8,0.619,1725.98,-1.23,-12.644,-0.3772,-0.295,36816,14083,2.670886773665521,0.0917005257352787,24796,7,0,0,10296,14493,16,0,9374,5103,True,-0.4287012402402553,0.03932197829481354,0.6549172035567806,0.021629132266353025,-0.4596017375239761,-0.4095297372229389,-3.0078874881704976,0.02209473526477663,0.46802321853506884,3.0299822234352742,-0.06989223108728854,-0.05266498805725163
M2|5m|12/26|s0.00,M2,5,12/26,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.0}",4988,-0.0334803528468324,-0.2296886011787272,-0.0778605427724499,0.0003147045872361,-0.3407147922107733,-167.0,-1699.4853835473375,0.3217722534081796,1605.0,3383.0,2582.0,2406.0,-1.1695399555034611,0.7834842205943551,0.6272677267464329,62.72677267464329,0.3072344393639409,32.21732157177225,67.78267842822775,0.0,3088.8,0.615,1702.5,-1.348,-12.459,-0.3834,-0.2979,35405,13988,2.609936829258544,0.1531478081543631,21462,7,0,0,8915,12540,16,0,7536,4988,True,-0.49386260036513646,0.017399206355624457,0.6668793095026555,0.10613307854919256,-0.6470236964022815,-0.356529795434452,-2.950651621469317,0.029800035322559683,0.5112618067207609,2.980451656791877,-0.05087955920245686,-0.06328038816939208
M2|5m|12/26|s0.25,M2,5,12/26,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.25}",2896,0.0089779005524861,-0.2273618743945732,-0.0770718218286689,0.0001662224401805,-0.2952895732305754,26.00000000000002,-855.1586040757464,0.3359806629834254,973.0,1923.0,1451.0,1445.0,-1.1599637443147035,0.8140393568401618,0.6527415506663112,65.27415506663112,0.3042674737830616,33.63259668508287,66.36740331491713,0.0,2085.0,0.659,856.94,0.294,-8.685,-0.3521,-0.2402,16968,9885,3.047577304393434,0.2767215490214635,7301,1,0,0,2984,4316,10,0,1410,2896,True,-0.572011122252039,0.03397658289511889,0.6723668869024522,0.16441240831902376,-0.7804791572396503,-0.41588467280574754,-3.3428668776240094,0.044214684620249176,0.6059877051471578,3.3870815622442585,-0.024998682342632784,-0.03523678406776307
M2|5m|12/26|s0.50,M2,5,12/26,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.5}",172,0.1860465116279069,-0.2000650550957135,-0.0678186627443096,0.0005099549495095,-0.0813272512626067,32.0,-13.988287217168356,0.3895348837209302,67.0,105.0,73.0,99.0,-1.0833981557152614,1.2468169525983217,0.8887269177608905,88.87269177608904,0.2673737628905137,39.53488372093023,60.46511627906976,0.0,151.4,0.894,33.58,1.724,-0.725,-0.2654,0.1349,860,812,5.926917198478175,0.2506368026443511,325,0,0,0,146,179,2,0,5,172,True,-0.3319640539069578,0.039841529376301706,0.9182689024978948,0.13274896793702745,-0.516389497223373,-0.20498209705286127,-6.008244449740782,0.06810409392119948,0.3718055832832595,6.0763485436619815,0.1462049822516052,0.11794241770670741
M3|5m|12/26|v1.2,M3,5,12/26,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.2, ""baseline_window"": 20}",905,0.0077348066298342,-0.1598705914053946,-0.054193420815388,-0.0011924899484094,-0.2075216955393578,6.999999999999986,-187.8071344631188,0.3359116022099447,304.0,601.0,454.0,451.0,-1.1122266091031583,1.1213170462176445,0.9087131545494046,90.87131545494046,0.215256502169192,33.591160220994475,66.40883977900552,0.0,669.4,0.745,193.62,0.146,-3.278,-0.3093,-0.1062,4807,3665,2.452987820733192,0.2087527174356374,1918,0,0,0,791,1127,9,0,213,905,True,-0.41627441297499523,0.025566420747343627,0.9219630203566118,0.17663136940442897,-0.7200238805817865,-0.2955511103143663,-2.66050951627255,0.01847294580957517,0.44184083372233884,2.678982462082125,-0.01783161411750943,-0.01073813917974097
M3|5m|12/26|v1.5,M3,5,12/26,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.5, ""baseline_window"": 20}",192,-0.125,-0.1153842262305552,-0.0391132970273068,-0.0002637995588393,-0.2797613228167014,-24.0,-53.71417398080668,0.2916666666666667,56.0,136.0,95.0,97.0,-1.0912054012899577,1.514184419068964,1.3052333427715743,130.52333427715743,0.1547613228167014,29.166666666666668,70.83333333333334,0.0,140.8,0.658,63.61,-1.059,-2.479,-0.4524,-0.0862,999,869,1.7731827625115957,-0.1343610423210195,381,0,0,0,155,226,8,0,26,192,True,-0.1454002804956819,0.08406149184836334,1.3172956897394748,0.10333427543206668,-0.27353244462646037,0.006700638473291494,-2.052944085328297,-0.014489157440089767,0.22946177234404525,2.0384549278882074,-0.20906149184836334,-0.11051084255991023
M4|5m|12/26|d0.25,M4,5,12/26,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.25}",3506,0.0807187678265829,-0.4587615713607398,-0.1555123970714372,-0.0003118915875266,-0.5338670921931207,282.99999999999994,-1871.738025229081,0.3482601254991443,1221.0,2285.0,1761.0,1745.0,-1.2647916802652213,0.4464064846343436,0.3419282651778667,34.19282651778666,0.6145858600197037,36.02395892755277,63.97604107244723,0.0,3056.8,0.481,1869.15,3.067,-18.515,-0.587,-0.4797,17206,13514,0.008715139955123,0.5226501764487094,7273,3,0,0,3055,4215,3,0,706,3506,True,-1.05651726864183,0.03749072700921481,0.3482458377753391,0.23597190006871593,-1.4191144964977147,-0.824447684044468,-0.5425822321482437,0.04354488796146157,1.094007995651045,0.5861271201097054,0.043228040817368085,0.03717387986512133
M4|5m|12/26|d0.5,M4,5,12/26,"{""arm_expiry_bars"": 10, ""atr_period"": 14, ""pullback_atr"": 0.5}",4927,0.0686015831134564,-0.4313676969660688,-0.1462263379545996,-0.0002251555145912,-0.5092176073218033,338.0,-2508.9151512745248,0.3450375482037751,1700.0,3227.0,2523.0,2404.0,-1.2366594827586257,0.5007048976991827,0.3829082270567642,38.29082270567642,0.5778191904352598,35.62005277044855,64.37994722955145,0.0,3430.7,0.501,2507.54,2.76,-16.565,-0.5599,-0.4604,25282,16559,0.0667657472337225,0.5403068343671447,12326,3,0,0,5187,7136,6,0,2203,4927,True,-1.049524441688948,0.03770961306011717,0.4016818079435534,0.21214938188981397,-1.3137390076991395,-0.7229782420121191,-0.5759833545555259,0.03463315583636731,1.087234054749065,0.6106165103918931,0.030891970053339234,0.0339684272770891
M5|5m|12/26,M5,5,12/26,"{""regime_fast"": 20, ""regime_slow"": 50, ""regime_tf"": 60, ""regime_tf_name"": ""1h""}",4697,0.0302320630189482,-0.2575576851587227,-0.0873076898843127,-0.0004801228748434,-0.3151134348989306,142.0,-1480.0878037202772,0.3429848839684905,1611.0,3086.0,2259.0,2438.0,-1.187182614145033,0.6676769975843324,0.5538700345727731,55.38700345727731,0.3453454979178789,34.341068767298275,65.65893123270172,0.0,2843.3,0.642,1481.56,1.1,-11.069,-0.3592,-0.2715,26748,14700,2.8251876475344906,0.2507177873622598,11944,0,0,0,4986,6958,4,0,2257,4697,True,-0.5658312222611904,0.029656763109150032,0.5766621438263355,0.056708277396453455,-0.647667823216326,-0.5032808344176499,-3.140301082433421,0.0319241614365136,0.5954879853703404,3.1722252438699345,0.0005752999097981687,-0.001692098417565402
M1|5m|20/50,M1,5,20/50,{},3092,0.046895213454075,-0.2062870015404469,-0.0699277971323548,0.0001646119141006,-0.2291549733046262,145.0,-708.5471774579042,0.3483182406209573,1077.0,2015.0,1563.0,1529.0,-1.1203603787260594,0.9976042268582788,0.7809119887998601,78.09119887998601,0.2760501867587012,34.89650711513583,65.10349288486417,0.0,2396.2,0.726,712.26,1.665,-5.668,-0.3059,-0.1647,22375,9391,2.348660873071044,0.1705487509045397,13828,1,0,0,5693,8134,15,0,5027,3092,True,-0.39970372420916594,0.02622891498179969,0.8141529360065397,0.06981901390696275,-0.4942337274624586,-0.3218060502265054,-2.5778158463756697,0.038381857552228234,0.42593263919096563,2.616197703927898,0.02066629847227531,0.008513355901846764
M2|5m|20/50|s0.00,M2,5,20/50,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.0}",3067,0.0476035213563743,-0.2058296737863625,-0.0697727707750381,0.000259881373035,-0.2277390418319914,146.0,-698.4756412987178,0.348549070753179,1069.0,1998.0,1549.0,1518.0,-1.1203750602409643,0.9994479673843888,0.7859193373805899,78.591933738059,0.2753425631883657,34.92011737854581,65.07988262145419,0.0,2400.1,0.728,702.19,1.666,-5.629,-0.3034,-0.1637,21967,9304,2.3419445739145037,0.2020397714991582,12758,0,0,0,5229,7529,15,0,4447,3067,True,-0.42977881333114976,0.06207548871556261,0.8157473530102988,0.08552721282339278,-0.5378104739329768,-0.29994140825264576,-2.5696836157464946,0.04003822511626919,0.4918543020467124,2.609721840862764,-0.014471967359188306,0.0075652962401051085
M2|5m|20/50|s0.25,M2,5,20/50,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.25}",1519,0.0566161948650428,-0.1590952395472447,-0.0539305896770321,-0.0006917669671959,-0.1571014013264299,86.00000000000003,-238.63702861484717,0.3522053982883475,535.0,984.0,755.0,764.0,-1.10120737327189,1.1662928922956035,0.959412325256512,95.9412325256512,0.2137175961914728,35.22053982883476,64.77946017116524,0.0,1183.9,0.8,239.8,1.358,-3.616,-0.2335,-0.0824,9074,5532,2.35124144052503,0.230965380523637,3849,0,0,0,1563,2286,10,0,757,1519,True,-0.38806678185006704,0.02570194243107616,1.0029905682079716,0.14517744594590284,-0.6085635488355052,-0.2694890259495773,-2.50834284185146,0.04941016194862791,0.4137687242811432,2.5577530038000877,0.030914252433966644,0.0072060329164148895
M2|5m|20/50|s0.50,M2,5,20/50,"{""atr_period"": 14, ""slope_lookback"": 5, ""slope_threshold"": 0.5}",40,-0.175,-0.1611039163175273,-0.0546114970567889,-0.0079939847834362,-0.3987093981577526,-7.0,-15.948375926310105,0.275,11.0,29.0,13.0,27.0,-1.068436691050685,1.7024034125772507,1.7083258388810334,170.83258388810336,0.2237093981577526,27.500000000000004,72.5,0.0,39.6,0.539,19.05,-1.17,-2.759,-0.6532,-0.0942,195,195,3.3551378779173464,-0.0750086020606534,74,0,0,0,34,40,0,0,0,40,True,-0.32370079609709923,-0.041666666666666664,1.743645017545439,0.27264372686379845,-0.667287890112225,-0.0016454335493041317,-3.753847276075099,-0.0020850202429149754,0.28203412943043255,3.751762255832184,-0.13333333333333333,-0.172914979757085
M3|5m|20/50|v1.2,M3,5,20/50,"{""atr_period"": 14, ""atr_ratio_threshold"": 1.2, ""baseline_window"": 20}",660,0.0636363636363636,-0.1454716032290975,-0.0493124078742703,-0.0001215938219045,-0.1312692412889088,42.00000000000001,-86.6376992506798,0.353030303030303,233.0,427.0,296.0,364.0,-1.0927334128437884,1.3412831402264525,1.0812983406991132,108.12983406991134,0.1949056049252724,35.45454545454545,64.54545454545455,0.0,520.7,0.83,94.55,1.118,-2.066,-0.2353,-0.0182,3519,2764,1.5306681830937248,0.2876425199654486,1451,0,0,0,646,805,9,0,136,660,True,-0.4189117612543575,-0.0035030163358803655,1.121826412123605,0.21641844220396192,-0.6908811378280224,-0.16485018055679596,-1.6619374243826335,0.0394040414084451,0.4154087449184771,1.7013414657910786,0.06713937997224396,0.024232322227918504
